distance_m,amplitude_dB,residual_dB
4.960109945128227289e-03,-8.751266253201910672e+01,-8.751280202654530171e+01
4.976698941600228229e-03,-7.010863274410495194e+01,-7.010861410414968020e+01
4.993287938072229169e-03,-6.499957078076656103e+01,-6.499958109316634136e+01
5.009876934544229242e-03,-6.501110119845567681e+01,-6.501109268445665634e+01
5.026465931016230182e-03,-6.727694461878601828e+01,-6.727694942222019847e+01
5.043054927488231122e-03,-7.153060507621302122e+01,-7.153061362148007163e+01
5.059643923960232062e-03,-7.277822810882402393e+01,-7.277820869526367176e+01
5.076232920432233002e-03,-8.058257837258933876e+01,-8.058263572757110182e+01
5.092821916904233075e-03,-7.362792071842481789e+01,-7.362791830623368128e+01
5.109410913376234015e-03,-6.982194384672682475e+01,-6.982194603861530879e+01
5.125999909848234955e-03,-7.607594777114975670e+01,-7.607594866280496149e+01
5.142588906320235895e-03,-7.746564136077915919e+01,-7.746560169040553490e+01
5.159177902792236835e-03,-7.550377458727376734e+01,-7.550380778653195080e+01
5.175766899264236907e-03,-7.361183934868317635e+01,-7.361182050317074754e+01
5.192355895736237847e-03,-7.068090998907096889e+01,-7.068092379147537940e+01
5.208944892208238787e-03,-6.847572474119263575e+01,-6.847570916892325954e+01
5.225533888680239727e-03,-6.605974087865256195e+01,-6.605975112178954589e+01
