distance_m,amplitude_dB,residual_dB
1.426653696592065446e-03,-7.518558714534437115e+01,-7.518560072993619769e+01
1.443242693064066169e-03,-7.105476138003430719e+01,-7.105476019579498370e+01
1.459831689536066892e-03,-6.877149199408263769e+01,-6.877149213943889094e+01
1.476420686008067615e-03,-7.854338530421154019e+01,-7.854339544472107093e+01
1.493009682480068339e-03,-7.160119949829267227e+01,-7.160119327252770915e+01
1.509598678952069279e-03,-6.494914521299732257e+01,-6.494914422826057887e+01
1.526187675424070002e-03,-6.023744368362315527e+01,-6.023744530285390653e+01
1.542776671896070725e-03,-6.243380778840128187e+01,-6.243380491714891178e+01
1.559365668368071448e-03,-6.804850116959374873e+01,-6.804850681460253270e+01
1.575954664840072171e-03,-7.411111974603974772e+01,-7.411111112834558412e+01
1.592543661312072895e-03,-7.928289553470688134e+01,-7.928291692126205703e+01
1.609132657784073835e-03,-7.509393745885530791e+01,-7.509392391841127790e+01
1.625721654256074558e-03,-7.289071888430638069e+01,-7.289072735649614287e+01
1.642310650728075281e-03,-6.596584204080139102e+01,-6.596584088821393266e+01
1.658899647200076004e-03,-6.350433733384750212e+01,-6.350433832797272515e+01
1.675488643672076727e-03,-6.688159927465484600e+01,-6.688159534035705178e+01
1.692077640144077450e-03,-6.818685456182808480e+01,-6.818686000989129070e+01
1.708666636616078391e-03,-6.580369638108319919e+01,-6.580369465849601340e+01
1.725255633088079114e-03,-6.461696740988381293e+01,-6.461696774106528096e+01
1.741844629560079837e-03,-6.680816547089781920e+01,-6.680816624119276526e+01
1.758433626032080560e-03,-7.298775658835312186e+01,-7.298774919732987598e+01
1.775022622504081283e-03,-7.453438091498730955e+01,-7.453438314671026887e+01
1.791611618976082006e-03,-6.370515589072519447e+01,-6.370515699651605956e+01
1.808200615448082946e-03,-6.042660668776650823e+01,-6.042660599997374504e+01
1.824789611920083670e-03,-6.193279872350860416e+01,-6.193279950067494610e+01
1.841378608392084393e-03,-6.730522889166032030e+01,-6.730522645735516107e+01
1.857967604864085116e-03,-7.434052099842362793e+01,-7.434053337120602123e+01
1.874556601336085839e-03,-7.323711367068585787e+01,-7.323710625290804899e+01
1.891145597808086779e-03,-7.678228122268288303e+01,-7.678229489228111504e+01
1.907734594280087502e-03,-7.167598391573848460e+01,-7.167597643278865860e+01
1.924323590752088226e-03,-6.564237039465781720e+01,-6.564237329174443403e+01
1.940912587224088949e-03,-6.504906731457980129e+01,-6.504906573076075915e+01
1.957501583696089672e-03,-7.120054191825171586e+01,-7.120053898133997450e+01
1.974090580168090612e-03,-7.077232895476187480e+01,-7.077233554770450041e+01
1.990679576640091118e-03,-6.763335440985048308e+01,-6.763335164104061903e+01
2.007268573112092058e-03,-6.947386543023378636e+01,-6.947386752376216634e+01
2.023857569584092565e-03,-7.302612829380564108e+01,-7.302612729636409483e+01
2.040446566056093505e-03,-7.762777230883885693e+01,-7.762778628214158516e+01
2.057035562528094445e-03,-7.690822895647323776e+01,-7.690822041060430081e+01
2.073624559000094951e-03,-7.086084209688065982e+01,-7.086083514625498481e+01
2.090213555472095891e-03,-6.766452591208161493e+01,-6.766453113640024242e+01
2.106802551944096397e-03,-6.375208018506607743e+01,-6.375207906564224913e+01
2.123391548416097337e-03,-6.227086878846787243e+01,-6.227086941856021696e+01
2.139980544888098277e-03,-6.500133817847299156e+01,-6.500133645938316818e+01
2.156569541360098784e-03,-6.946596823931216136e+01,-6.946597166284809077e+01
2.173158537832099724e-03,-7.048310471830519930e+01,-7.048310102785892184e+01
2.189747534304100230e-03,-7.077647037884277381e+01,-7.077647452769079450e+01
2.206336530776101170e-03,-7.019085579482914738e+01,-7.019085455846219190e+01
2.222925527248101676e-03,-6.722551025479361897e+01,-6.722551180433544005e+01
2.239514523720102616e-03,-6.779803133528994863e+01,-6.779802677424538615e+01
2.256103520192103556e-03,-6.930847713014588862e+01,-6.930848243609838732e+01
2.272692516664104063e-03,-6.432159426038636241e+01,-6.432159378505572533e+01
2.289281513136105003e-03,-6.585547813555456287e+01,-6.585547799234797139e+01
2.305870509608105509e-03,-8.043317979533121331e+01,-8.043317622900201513e+01
2.322459506080106449e-03,-7.407347763837461230e+01,-7.407348604186020680e+01
2.339048502552107389e-03,-7.394747474802559850e+01,-7.394746458830158531e+01
2.355637499024107896e-03,-8.619507106986407052e+01,-8.619511123539035680e+01
2.372226495496108836e-03,-8.174825391660881735e+01,-8.174828302883369702e+01
2.388815491968109342e-03,-8.152669065710723828e+01,-8.152666227850055236e+01
2.405404488440110282e-03,-9.191801740515984420e+01,-9.191797696933451789e+01
2.421993484912110788e-03,-8.680437891004129369e+01,-8.680437181394790969e+01
2.438582481384111728e-03,-7.021297659868071150e+01,-7.021298430726696438e+01
2.455171477856112668e-03,-6.554299009901870932e+01,-6.554298560489522174e+01
2.471760474328113175e-03,-7.096047034355864014e+01,-7.096047874206379902e+01
2.488349470800114115e-03,-7.611356035989537361e+01,-7.611357253175157211e+01
2.504938467272114621e-03,-6.987465172298567495e+01,-6.987464497065219859e+01
2.521527463744115561e-03,-7.409144433093503324e+01,-7.409145585547351232e+01
2.538116460216116501e-03,-8.490455634384944972e+01,-8.490458256431372774e+01
2.554705456688117007e-03,-7.358658319582407614e+01,-7.358657308869470626e+01
2.571294453160117947e-03,-7.544333318584196491e+01,-7.544334421227512166e+01
2.587883449632118454e-03,-7.511869415708274289e+01,-7.511869251166216088e+01
2.604472446104119394e-03,-6.969107388925915814e+01,-6.969107323451305547e+01
2.621061442576120334e-03,-6.847382945006290811e+01,-6.847383092693276296e+01
2.637650439048120840e-03,-7.634882211707706290e+01,-7.634881846754298351e+01
2.654239435520121780e-03,-7.424459349689537646e+01,-7.424458817946857891e+01
2.670828431992122286e-03,-6.704282151842637916e+01,-6.704282121005982731e+01
