file,lam_i_nm,lam_j_nm,span_nm,lam_center_nm,dnu_THz,fringes,tau_aux_ns
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1530.000000,1560.000000,30.000000,1545.000000,3.768130,76809.864453,20.384078
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1530.000000,1565.000000,35.000000,1547.500000,4.382107,89344.276871,20.388429
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1535.000000,1540.000000,5.000000,1537.500000,0.634106,12930.795288,20.392179
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1535.000000,1545.000000,10.000000,1540.000000,1.264107,25773.399859,20.388622
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1535.000000,1550.000000,15.000000,1542.500000,1.890044,38517.928950,20.379384
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1535.000000,1555.000000,20.000000,1545.000000,2.511955,51207.615893,20.385559
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1535.000000,1560.000000,25.000000,1547.500000,3.129880,63795.695193,20.382791
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1535.000000,1565.000000,30.000000,1550.000000,3.743857,76330.107611,20.388095
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1540.000000,1545.000000,5.000000,1542.500000,0.630001,12842.604570,20.385042
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1540.000000,1550.000000,10.000000,1545.000000,1.255938,25587.133662,20.372923
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1540.000000,1555.000000,15.000000,1547.500000,1.877850,38276.820605,20.383324
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1540.000000,1560.000000,20.000000,1550.000000,2.495775,50864.899905,20.380405
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1540.000000,1565.000000,25.000000,1552.500000,3.109751,63399.312323,20.387262
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1545.000000,1550.000000,5.000000,1547.500000,0.625937,12744.529092,20.360726
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1545.000000,1555.000000,10.000000,1550.000000,1.247848,25434.216034,20.382457
